"Toll Brothers - Space Statistics"
"User","apiselli@tollbrothers.com"
"Last refreshed","2025-05-02"
"Timeframe","Lifetime"

"Space name","Space Details URL","Parent folder name","Internal ID","Presented By","Contact name","Address","Public status","Deleted status","Created Date","Impressions","Visits","Unique Visitors"
"The Corsica Brandywine","https://my.matterport.com/models/13jS1m6avAL","Model Homes","Corsica 293, Regency at White Oak Creek 2324","Toll Brothers","","220 Aspenwood Road, Apex, NC, 27523, US","Public","Not Deleted","2017-11-10","77511","47588","29754"
"The Charleston Hill Country","https://my.matterport.com/models/15MukdiSccR","Model Homes","Charleston 840, Parkside at Fairview 3777","Toll Brothers","","1700 Big Bend Boulevard, Fairview, TX, 75069, US","Public","Not Deleted","2017-11-08","39294","27421","15905"
"The Bella Traditional","https://my.matterport.com/models/18RzEXXyzQU","Model Homes","Bella 42D, The Highlands at Parker 2983","Toll Brothers","","11675 Pine Canyon Point, Parker, CO, 80138, US","Public","Not Deleted","2018-05-30","68236","45696","25565"
"The Fenway Federal","https://my.matterport.com/models/19H1HQwFfuD","Model Homes","Fenway 3C3, Enclave at Princeton Junction 3419","Toll Brothers","","47 Old Bear Brook Road, Princeton, NJ, 08540, US","Public","Not Deleted","2019-02-20","8503","6229","3618"
"The Addison","https://my.matterport.com/models/1Dn1iqNCUjd","Archived","Hillcrest (NV) 2GU, Willow Bend at Saddle Ridge 3802","Toll Brothers","","2860 Ethelinda Way, Reno, NV, 89521, US","Not Public","Not Deleted","2019-01-25","8155","5103","2587"
"The Quincy Mountain","https://my.matterport.com/models/1ev7vsxDdAS","Model Homes","Quincy 5D2, Reg. at Caram. Ranch - Clay. Col. 4026","Toll Brothers","","2433 Ivory Sage Court, Reno, NV, 89521, US","Public","Not Deleted","2020-03-28","4281","2293","1294"
"“White Box” Duplex Penthouse","https://my.matterport.com/models/1FgeTiXdVNZ","Model Homes","The Sutton 4298","Toll Brothers","","959 1st Avenue, New York, NY, 10022, US","Public","Not Deleted","2019-06-13","21107","15810","10396"
"The Darin Farmhouse","https://my.matterport.com/models/1FvZsDVQzUY","Model Homes","Darin M96, Regency at Hilltown 3097","Toll Brothers","","1110 Webb Drive, Perkasie, PA, 18944, US","Public","Not Deleted","2017-06-29","23806","14653","8208"
"1425 Hudson - C Line Residences","https://my.matterport.com/models/1gNtEn35oHz","Archived","1425 Hudson Street at Hudson Tea 2179","Toll Brothers City Living","","1425 Hudson Street, Hoboken, NJ, 07030, US","Not Public","Not Deleted","2020-03-18","10618","6840","5223"
"The Johnson with Basement","https://my.matterport.com/models/1gs2SYPJWpj","Spin-Off Home Designs","Jefferson with Basement 1ZB, Pipers Glen 3460","Toll Brothers","","9922 Northeast 162nd Street, Bothell, WA, 98011, US","Public","Not Deleted","2018-12-03","4434","2254","1406"
